RegionID,SizeRank,RegionName,RegionType,StateName,DOM,City,ZipCode,County,Latitude_zillow,Longitude_zillow,GeoID_zillow,CountyFIPS_zillow,S2Id,DENSITY_DOM,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,rowId,Latitude_svi,Longitude_svi,GeoID_svi,CountyFIPS_svi,ZIP,POP_DENSITY,DENSITY_POV150,DENSITY_UNEMP,DENSITY_NOHSDP,DENSITY_UNINSUR,DENSITY_AGE65,DENSITY_AGE17,DENSITY_DISABL,DENSITY_SNGPNT,DENSITY_LIMENG,DENSITY_MINRTY,DENSITY_MUNIT,DENSITY_MOBILE,DENSITY_CROWD,DENSITY_NOVEH,DENSITY_GROUPQ
394359,288,"Bangor, ME",msa,ME,41.0,BANGOR,4402,PENOBSCOT,44.99074795000001,-68.78687709999997,2301902795,23019,552585320118345,-0.2984499958554664,23,Maine,ME,23019,Penobscot County,23019015000,Census Tract 150; Penobscot County; Maine,35.141140711748,3807,2288,1783,942,59,612,374,300,810,585,813,0,15,202,14,281,35,224,51,0.6546,0.2974,0.7586,0.6643,0.5739,2.9488,0.6435,0.7469,0.1701,0.8951,0.0,0.3184,2.1305,0.2888,0.0632,0.0632,0.0632,0.2912,0.8218,0.532,0.8092,0.7228,3.177,0.857,8.3195,0.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281,296,1,9,0,0,0,192,0,25769806570,44.99074795000001,-68.78687709999997,2301934190,23019,04453,108.3345595189312,-0.08310918713647883,-0.09747964771147799,-0.11952554092444279,-0.07027985973093345,-0.08076547918779474,-0.08180344906882822,-0.07564074664277819,-0.09256593060332693,-0.1633099883777708,-0.08708034638105001,-0.0647316247915524,-0.08934661821841527,-0.07008076053740568,-0.029046892461048895,-0.2517457915479463
394788,367,"Lewiston, ME",msa,ME,18.0,LEWISTON,4050,ANDROSCOGGIN,43.751804898765435,-70.30688758641975,2300541067,23005,552662640827900,-1.564541200495656,23,Maine,ME,23005,Cumberland County,23005017002,Census Tract 170.02; Cumberland County; Maine,17.867710594054,3521,2299,1085,180,34,136,42,360,655,448,425,0,1,435,0,10,28,45,668,0.1101,0.135,0.1019,0.0954,0.6815,1.1239,0.1187,0.6215,0.0998,0.4604,0.0,0.0,1.1817,0.0319,0.2064,0.2064,0.2064,0.0,0.4752,0.6023,0.4524,0.9704,2.5003,0.5967,5.0123,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3025,27,35,120,47,0,0,233,0,25769806430,43.751804898765435,-70.30688758641975,2300586025,23005,04082,197.05938158477423,-0.10912440507936463,-0.10550316945428836,-0.16023851054985325,-0.0738263831685305,-0.09799685870118045,-0.09007398428225574,-0.09601798889541077,-0.09256593060332693,-0.17861605803602335,-0.08656234033148132,-0.07388353031630933,-0.10120765183195549,-0.08228715450358819,-0.0750134168817375,-0.17283531961599574
394997,105,"Portland, ME",msa,ME,29.0,PORTLAND,4101,CUMBERLAND,43.751804898765435,-70.30688758641975,2300560545,23005,552662640827900,-0.9590193200155652,23,Maine,ME,23005,Cumberland County,23005017002,Census Tract 170.02; Cumberland County; Maine,17.867710594054,3521,2299,1085,180,34,136,42,360,655,448,425,0,1,435,0,10,28,45,668,0.1101,0.135,0.1019,0.0954,0.6815,1.1239,0.1187,0.6215,0.0998,0.4604,0.0,0.0,1.1817,0.0319,0.2064,0.2064,0.2064,0.0,0.4752,0.6023,0.4524,0.9704,2.5003,0.5967,5.0123,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3025,27,35,120,47,0,0,233,0,25769806430,43.751804898765435,-70.30688758641975,2300586025,23005,04082,197.05938158477423,-0.10912440507936463,-0.10550316945428836,-0.16023851054985325,-0.0738263831685305,-0.09799685870118045,-0.09007398428225574,-0.09601798889541077,-0.09256593060332693,-0.17861605803602335,-0.08656234033148132,-0.07388353031630933,-0.10120765183195549,-0.08228715450358819,-0.0750134168817375,-0.17283531961599574
394353,339,"Augusta, ME",msa,ME,36.0,AUGUSTA,4050,KENNEBEC,43.751804898765435,-70.30688758641975,2300541067,23005,552662640827900,-0.5736872142555076,23,Maine,ME,23005,Cumberland County,23005017002,Census Tract 170.02; Cumberland County; Maine,17.867710594054,3521,2299,1085,180,34,136,42,360,655,448,425,0,1,435,0,10,28,45,668,0.1101,0.135,0.1019,0.0954,0.6815,1.1239,0.1187,0.6215,0.0998,0.4604,0.0,0.0,1.1817,0.0319,0.2064,0.2064,0.2064,0.0,0.4752,0.6023,0.4524,0.9704,2.5003,0.5967,5.0123,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3025,27,35,120,47,0,0,233,0,25769806430,43.751804898765435,-70.30688758641975,2300586025,23005,04082,197.05938158477423,-0.10912440507936463,-0.10550316945428836,-0.16023851054985325,-0.0738263831685305,-0.09799685870118045,-0.09007398428225574,-0.09601798889541077,-0.09256593060332693,-0.17861605803602335,-0.08656234033148132,-0.07388353031630933,-0.10120765183195549,-0.08228715450358819,-0.0750134168817375,-0.17283531961599574
394759,519,"Laconia, NH",msa,NH,39.0,LACONIA,3246,BELKNAP,43.52958755555556,-71.43799406111111,3300104740,33001,552681829199343,-0.4085448832154829,33,New Hampshire,NH,33001,Belknap County,33001965700,Census Tract 9657; Belknap County; New Hampshire,43.059957209946,4941,2475,1840,386,36,541,203,275,967,1022,618,110,0,403,0,141,0,15,0,0.1585,0.1044,0.6486,0.3423,0.4148,1.6686,0.2576,0.6705,0.4414,0.4877,0.5809,0.0,2.1805,0.3175,0.1247,0.1247,0.1247,0.0,0.7198,0.0,0.1148,0.0,0.8346,0.0582,4.8084,0.1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540,118,0,83,26,131,0,129,34,34359742794,43.52958755555556,-71.43799406111111,3300101060,33001,03809,114.74697886738092,-0.10093225874598959,-0.10245834104450473,-0.1406813117686201,-0.0716822354703604,-0.07682211070450012,-0.07252743555549508,-0.08371406292577986,-0.06615885800279776,-0.17919837361427568,-0.08459128485778171,-0.07388353031630933,-0.09571318235145143,-0.091870294589093,-0.07745343296595152,-0.2644718000078715
845164,211,"Lebanon, NH",msa,NH,38.0,LEBANON,3756,GRAFTON,43.8354527892857,-71.91003918928571,3300941300,33009,552722124020339,-0.46359232689549107,33,New Hampshire,NH,33009,Grafton County,33009961701,Census Tract 9617.01; Grafton County; New Hampshire,14.124776801938,4819,2756,2200,691,16,552,270,225,995,628,567,78,34,906,1101,216,87,84,139,0.3843,0.0427,0.5252,0.4215,0.3531,1.7268,0.2738,0.7171,0.1058,0.4604,0.3577,0.3984,2.0394,0.2419,0.3122,0.3122,0.3122,0.9056,0.7583,0.7126,0.4271,0.8365,3.6401,0.9596,7.7185,0.5123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,13097,173,18,201,417,0,0,245,25,34359742878,43.8354527892857,-71.91003918928571,3300905460,33009,03561,341.17353269177363,-0.10540714868076838,-0.1082125191261199,-0.15297040558104094,-0.07821982617741878,-0.09968750876850607,-0.09121865694715915,-0.09790336423734984,-0.08626814162497448,-0.16776276959102102,-0.08588536257272092,0.15465661593441105,-0.09849147703949646,-0.0746717838836663,-0.07456728832463529,-0.2534582197431951
394429,206,"Burlington, VT",msa,VT,28.0,BURLINGTON,5402,CHITTENDEN,44.478601,-73.15632134390245,5000710675,50007,553336936937768,-1.0140667636955736,50,Vermont,VT,50007,Chittenden County,50007004200,Census Tract 42; Chittenden County; Vermont,0.21504916145,4345,2113,2084,1728,72,1128,148,201,254,292,271,68,72,808,209,0,15,358,180,0.8831,0.2186,0.9704,0.3859,0.3531,2.8111,0.6027,0.0501,0.0339,0.0937,0.3164,0.561,1.0551,0.0239,0.3088,0.3088,0.3088,0.6387,0.0,0.3188,0.8752,0.8822,2.7149,0.6907,6.8899,0.3779,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2195,246,70,278,298,0,0,102,60,60129546222,44.478601,-73.15632134390245,5000706550,50007,05676,20204.68236520064,-0.11189214360661845,-0.10914697887917502,-0.16282533796663576,-0.0806643921902365,-0.11173601448866029,-0.09604962858784086,-0.10418477328101465,-0.0924732207872253,-0.17878945583532874,-0.08983701013742913,-0.07315096766468772,-0.10144433479195315,-0.09182022360206113,-0.08027752730652137,-0.26423097059265666
394532,14,"Detroit, MI",msa,MI,30.0,DETROIT,49674,WAYNE,44.96794756999999,-85.80896773,2608946700,26089,556960219378105,-0.903971876335557,26,Michigan,MI,26089,Leelanau County,26089970602,Census Tract 9706.02; Leelanau County; Michigan,5.190074976276,1461,711,595,102,10,71,41,50,433,285,218,24,0,36,0,12,12,36,0,0.1323,0.1463,0.0876,0.2039,0.2335,0.8036,0.0559,0.9335,0.365,0.6396,0.3995,0.0,2.3376,0.4111,0.0164,0.0164,0.0164,0.0,0.5935,0.532,0.5876,0.0,1.7131,0.2679,4.8707,0.1097,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,767,74,0,24,12,0,0,0,0,25769810807,44.96794756999999,-85.80896773,2608946700,26089,49654,281.49882355809467,-0.1109667129323636,-0.10845776746249587,-0.1610867329441563,-0.08003335144193768,-0.10540593927544316,-0.09340966648961625,-0.10128502146656108,-0.09021736069651014,-0.17919837361427568,-0.08970421412851687,-0.07388353031630933,-0.10124551080907779,-0.08899520367140125,-0.0775242963546211,-0.2644718000078715
394646,157,"Green Bay, WI",msa,WI,47.0,GREEN BAY,54842,BROWN,46.634135799999996,-91.97723091333334,5503141725,55031,595779643203566,0.031834666224583086,55,Wisconsin,WI,55031,Douglas County,55031020400,Census Tract 204; Douglas County; Wisconsin,1.35783386105,3331,1460,1403,526,22,261,63,236,673,790,498,224,0,266,56,0,0,37,82,0.4263,0.0859,0.2958,0.139,0.5253,1.4723,0.2033,0.6987,0.6323,0.6565,0.936,0.0,2.9235,0.7615,0.1205,0.1205,0.1205,0.4762,0.0,0.0,0.312,0.816,1.6042,0.2305,6.1205,0.2608,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2972,265,0,56,28,13,0,169,0,60129551155,46.634135799999996,-91.97723091333334,5503101825,55031,54874,2453.1719936812956,-0.11146125132934452,-0.10903043508848703,-0.1625946197732023,-0.08033977322589714,-0.11064989647514653,-0.09523599012072374,-0.10346236375176616,-0.09005063602547146,-0.17919837361427568,-0.0897336085342247,-0.07226690065261325,-0.10144433479195315,-0.091870294589093,-0.08034340779020559,-0.26356820274279336
394756,311,"La Crosse, WI",msa,WI,23.0,LA CROSSE,54842,MANITOWOC,46.634135799999996,-91.97723091333334,5503141725,55031,595779643203566,-1.2893039820956147,55,Wisconsin,WI,55031,Douglas County,55031020400,Census Tract 204; Douglas County; Wisconsin,1.35783386105,3331,1460,1403,526,22,261,63,236,673,790,498,224,0,266,56,0,0,37,82,0.4263,0.0859,0.2958,0.139,0.5253,1.4723,0.2033,0.6987,0.6323,0.6565,0.936,0.0,2.9235,0.7615,0.1205,0.1205,0.1205,0.4762,0.0,0.0,0.312,0.816,1.6042,0.2305,6.1205,0.2608,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2972,265,0,56,28,13,0,169,0,60129551155,46.634135799999996,-91.97723091333334,5503101825,55031,54874,2453.1719936812956,-0.11146125132934452,-0.10903043508848703,-0.1625946197732023,-0.08033977322589714,-0.11064989647514653,-0.09523599012072374,-0.10346236375176616,-0.09005063602547146,-0.17919837361427568,-0.0897336085342247,-0.07226690065261325,-0.10144433479195315,-0.091870294589093,-0.08034340779020559,-0.26356820274279336
394816,88,"Madison, WI",msa,WI,35.0,MADISON,54842,DANE,46.634135799999996,-91.97723091333334,5503141725,55031,595779643203566,-0.6287346579355159,55,Wisconsin,WI,55031,Douglas County,55031020400,Census Tract 204; Douglas County; Wisconsin,1.35783386105,3331,1460,1403,526,22,261,63,236,673,790,498,224,0,266,56,0,0,37,82,0.4263,0.0859,0.2958,0.139,0.5253,1.4723,0.2033,0.6987,0.6323,0.6565,0.936,0.0,2.9235,0.7615,0.1205,0.1205,0.1205,0.4762,0.0,0.0,0.312,0.816,1.6042,0.2305,6.1205,0.2608,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2972,265,0,56,28,13,0,169,0,60129551155,46.634135799999996,-91.97723091333334,5503101825,55031,54874,2453.1719936812956,-0.11146125132934452,-0.10903043508848703,-0.1625946197732023,-0.08033977322589714,-0.11064989647514653,-0.09523599012072374,-0.10346236375176616,-0.09005063602547146,-0.17919837361427568,-0.0897336085342247,-0.07226690065261325,-0.10144433479195315,-0.091870294589093,-0.08034340779020559,-0.26356820274279336
